function,version,bleu4,exact_match,codebert_sim
calculateReward(address)_v0.8.4___312,0.8.4,0.204,0,0.9844
removeExclude(address)_v9_v0.8.9___313,0.8.9,0.3611,0,0.994
registeredTokens()_v0.8.17___314,0.8.17,0.0,0,0.984
getCirculatingSupply()_v60_v0.8.17___315,0.8.17,0.5489,0,0.9958
setOwner(address)_v10_v0.8.6___316,0.8.6,0.3627,0,0.9928
addModerator(address)_v2_v0.8.17___317,0.8.17,0.0,0,0.9885
"transferAndCall(address,uint256,bytes)_v0.8.2___318",0.8.2,0.7017,0,0.9995
manualswap()_v145_v0.8.13___319,0.8.13,0.23,0,0.9972
setWalletLimit(uint256)_v56_v0.8.4___320,0.8.4,0.3247,0,0.9962
"setBuyFeePercent(uint256,uint256,uint256,uint256)_v0.8.10___321",0.8.10,0.0,0,0.9866
"setIsTxLimitExempt(address,bool)_v4_v0.8.9___322",0.8.9,0.7192,0,0.9955
"updateBuyFees(uint256,uint256,uint256,uint256)_v118_v0.8.10___323",0.8.10,0.3412,0,0.982
"decreaseAllowance(address,uint256)_v3600_v0.8.0___324",0.8.0,0.272,0,0.9819
tradingLive()_v0.8.17___325,0.8.17,0.0,0,0.9891
withdrawEth(uint256)_v0.8.9___326,0.8.9,0.0,0,0.9968
setMaxSellAmount(uint256)_v0.8.4___327,0.8.4,0.0,0,0.997
nameForStakingToken(address)_v0.8.0___328,0.8.0,0.0151,0,0.9641
executeLosslessTurnOff()_v0.8.4___329,0.8.4,0.0,0,0.9885
increaseTotal(uint256)_v0.8.3___330,0.8.3,0.0,0,0.9542
swapToken()_v0.8.13___331,0.8.13,0.0,0,0.9892
"release(address,address,uint256,uint256)_v0.8.7___332",0.8.7,0.0,0,0.9906
"multiERC20Transfer(address,address[],uint256[])_v0.8.7___333",0.8.7,0.1635,0,0.9949
getLastClaimTime(address)_v2_v0.8.10___334,0.8.10,0.4172,0,0.988
setBuyFee(uint256)_v0.8.17___335,0.8.17,0.0,0,0.9917
"reflectionFromToken(uint256,bool)_v6_v0.8.9___336",0.8.9,0.5311,0,0.9868
distributeFunds()_v0.8.0___337,0.8.0,0.0,0,0.9553
tokenURI(uint256)_v3_v0.8.5___338,0.8.5,0.0,0,0.9867
getPrice()_v2_v0.8.0___339,0.8.0,0.2099,0,0.9604
"getPriorVotes(address,uint256)_v3_v0.8.0___340",0.8.0,0.9164,0,0.999
setStartTime(uint256)_v2_v0.8.0___341,0.8.0,0.0,0,0.9971
autoUnlock(address)_v0.8.17___342,0.8.17,0.0,0,0.9825
initContract()_v2_v0.8.10___343,0.8.10,0.0,0,0.9566
"rescueTokens(address,address,uint256)_v0.8.17___344",0.8.17,0.0,0,0.9924
