START
Wed Jun 24 16:19:20 +04 2026
cn270
resume: 0 stems already harvested
remaining: 109679
  [98700/109679] 4.8/s ETA 0.6h
  [99000/109679] 4.8/s ETA 0.6h
  [99300/109679] 4.8/s ETA 0.6h
  [99600/109679] 4.8/s ETA 0.6h
  [99900/109679] 4.8/s ETA 0.6h
  [100200/109679] 4.8/s ETA 0.5h
  [100500/109679] 4.8/s ETA 0.5h
  [100800/109679] 4.8/s ETA 0.5h
  [101100/109679] 4.8/s ETA 0.5h
  [101400/109679] 4.8/s ETA 0.5h
  [101700/109679] 4.8/s ETA 0.5h
  [102000/109679] 4.8/s ETA 0.4h
  [102300/109679] 4.8/s ETA 0.4h
  [102600/109679] 4.8/s ETA 0.4h
  [102900/109679] 4.8/s ETA 0.4h
  [103200/109679] 4.8/s ETA 0.4h
  [103500/109679] 4.8/s ETA 0.4h
  [103800/109679] 4.8/s ETA 0.3h
  [104100/109679] 4.8/s ETA 0.3h
  [104400/109679] 4.8/s ETA 0.3h
  [104700/109679] 4.8/s ETA 0.3h
  [105000/109679] 4.8/s ETA 0.3h
  [105300/109679] 4.8/s ETA 0.3h
  [105600/109679] 4.8/s ETA 0.2h
  [105900/109679] 4.8/s ETA 0.2h
  [106200/109679] 4.8/s ETA 0.2h
  [106500/109679] 4.8/s ETA 0.2h
  [106800/109679] 4.8/s ETA 0.2h
  [107100/109679] 4.8/s ETA 0.2h
  [107400/109679] 4.8/s ETA 0.1h
  [107700/109679] 4.8/s ETA 0.1h
  [108000/109679] 4.8/s ETA 0.1h
  [108300/109679] 4.8/s ETA 0.1h
  [108600/109679] 4.8/s ETA 0.1h
  [108900/109679] 4.8/s ETA 0.0h
  [109200/109679] 4.8/s ETA 0.0h
  [109500/109679] 4.7/s ETA 0.0h
  [109679/109679] 4.7/s ETA 0.0h
done
END
Wed Jun 24 22:44:54 +04 2026
