function,version,bleu4,exact_match,normalized_match
"recollateralizeAmount(uint256,uint256,uint256)_v2_v0.8.0___360",0.8.0,0.0,0,0
setMaxTxn(uint256)_v0.8.0___361,0.8.0,0.0,0,0
getPriceUsdc(address)_v0.8.12___362,0.8.12,0.4833,0,0
"increaseAllowance(address,uint256)_v138_v0.8.17___363",0.8.17,0.2152,0,0
MaxWallet(uint256)_v0.8.9___364,0.8.9,0.0,0,0
setExcludeFromAll(address)_v0.8.16___365,0.8.16,0.0,0,0
updateDefaultBPSFee(uint256)_v0.8.0___366,0.8.0,0.0,0,0
ownerOf(uint256)_v0.8.17___367,0.8.17,0.0,0,0
getSeed()_v0.8.11___368,0.8.11,0.0,0,0
"updateSellFees(uint256,uint256,uint256)_v832_v0.8.10___369",0.8.10,0.8624,0,0
getRiskLevel(address)_v0.8.6___370,0.8.6,0.0,0,0
openTrading()_v669_v0.8.0___371,0.8.0,0.8492,0,1
